ID,Nama Produk,Jenis Sambal,Harga,Stok,Tanggal Produksi,Tanggal Expired,Rating,Penjual,Lokasi
195,Sambal Sambal Terasi 226ml,Sambal Teri,74945,224,7/15/2025,7/8/2026,3.8,Perum Hidayanto,Mojokerto
196,Sambal Sambal Cumi 290ml,Sambal Tomat,35389,209,7/15/2025,4/4/2026,4.2,UD Saptono Halimah (Persero) Tbk,Kota Administrasi Jakarta Utara
197,Sambal Sambal Cumi 133ml,Sambal Cumi,16193,285,7/15/2025,4/28/2026,3.2,UD Widiastuti,Pagaralam
198,Sambal Sambal Cumi 141ml,Sambal Ijo,70079,179,7/15/2025,3/20/2026,4.9,PD Aryani Tbk,Kendari
199,Sambel Sambal Ijo 404ml,Sambal Bawang,30288,286,7/15/2025,4/23/2026,4.1,CV Samosir Nashiruddin (Persero) Tbk,Palembang
200,Sambel Sambal Ijo 443ml,Sambal Bawang,52337,343,7/15/2025,5/17/2026,3.8,PD Mansur (Persero) Tbk,Cirebon
201,Sambal Sambal Cumi 258ml,Sambal Ijo,72335,109,7/15/2025,4/5/2026,4.9,CV Wahyuni (Persero) Tbk,Pekanbaru
202,Sambel Sambal Matah 215ml,Sambal Ijo,20154,39,7/15/2025,3/13/2026,4.6,CV Waskita (Persero) Tbk,Sukabumi
203,Sambal Sambal Terasi 438ml,Sambal Cumi,67435,392,7/15/2025,12/19/2025,4,PT Widiastuti Namaga (Persero) Tbk,Tual
204,Sambal Sambal Ijo 192ml,Sambal Ijo,57263,224,7/15/2025,11/4/2025,3.5,CV Hutagalung Tbk,Prabumulih
205,Sambal Sambal Teri 412ml,Sambal Tomat,59308,383,7/15/2025,5/30/2026,3.1,CV Haryanti,Salatiga
206,Sambal Sambal Tomat 340ml,Sambal Matah,34106,347,7/15/2025,5/26/2026,3.7,UD Aryani Rajasa,Sorong
207,Sambel Sambal Roa 357ml,Sambal Roa,73325,82,7/15/2025,1/23/2026,4.5,CV Nurdiyanti Nasyiah,Ternate
208,Sambal Sambal Tomat 126ml,Sambal Teri,67286,190,7/15/2025,12/4/2025,4.3,PT Iswahyudi Waluyo Tbk,Sawahlunto
209,Sambal Sambal Tomat 142ml,Sambal Ijo,27877,230,7/15/2025,7/2/2026,2.9,CV Budiyanto Hidayanto,Madiun
210,Sambel Sambal Bawang 213ml,Sambal Teri,67975,178,7/15/2025,10/26/2025,3.5,UD Padmasari Melani,Kendari
211,Sambel Sambal Cumi 220ml,Sambal Roa,15348,191,7/15/2025,2/4/2026,2.6,PD Padmasari,Palembang
212,Sambal Sambal Cumi 174ml,Sambal Ijo,12510,146,7/15/2025,6/11/2026,4.2,PT Ardianto,Yogyakarta
213,Sambal Sambal Teri 329ml,Sambal Terasi,69366,40,7/15/2025,10/22/2025,3.1,PD Purnawati Pranowo,Bukittinggi
214,Sambal Sambal Roa 156ml,Sambal Tomat,25573,154,7/15/2025,12/14/2025,2.6,PD Hasanah,Prabumulih
215,Sambel Sambal Teri 132ml,Sambal Bawang,64833,463,7/15/2025,6/25/2026,4,PD Wibisono Utami Tbk,Semarang
216,Sambal Sambal Matah 467ml,Sambal Ijo,29088,219,7/15/2025,10/13/2025,4,UD Hariyah Pratiwi,Solok
217,Sambal Sambal Roa 195ml,Sambal Bawang,44307,499,7/15/2025,4/15/2026,2.7,UD Saputra,Balikpapan
218,Sambal Sambal Roa 340ml,Sambal Terasi,51659,198,7/15/2025,4/22/2026,3.1,CV Fujiati Riyanti,Kota Administrasi Jakarta Utara
219,Sambal Sambal Cumi 134ml,Sambal Cumi,25802,375,7/15/2025,12/5/2025,4.4,Perum Prayoga Pranowo Tbk,Bitung
220,Sambel Sambal Ijo 122ml,Sambal Cumi,45783,173,7/15/2025,1/10/2026,4.6,Perum Thamrin Tampubolon Tbk,Banda Aceh
221,Sambel Sambal Teri 423ml,Sambal Ijo,63182,69,7/15/2025,11/14/2025,4.3,CV Wijayanti Budiyanto Tbk,Bandar Lampung
222,Sambel Sambal Terasi 250ml,Sambal Matah,12870,405,7/15/2025,1/23/2026,4.7,Perum Gunawan Fujiati Tbk,Malang
223,Sambel Sambal Tomat 363ml,Sambal Roa,74823,417,7/15/2025,6/12/2026,3.1,PD Pertiwi,Tidore Kepulauan
224,Sambal Sambal Tomat 282ml,Sambal Terasi,66740,335,7/15/2025,3/31/2026,3.2,PT Halimah Gunawan (Persero) Tbk,Langsa
225,Sambel Sambal Roa 304ml,Sambal Teri,68630,489,7/15/2025,4/28/2026,3.3,CV Hakim Hutasoit,Depok
226,Sambal Sambal Teri 454ml,Sambal Teri,34074,473,7/15/2025,7/5/2026,3.2,Perum Kuswandari (Persero) Tbk,Salatiga
227,Sambal Sambal Roa 140ml,Sambal Roa,49482,421,7/15/2025,1/13/2026,3.9,PD Marpaung (Persero) Tbk,Balikpapan
228,Sambel Sambal Bawang 140ml,Sambal Cumi,53314,151,7/15/2025,3/18/2026,3.6,UD Jailani Damanik,Tanjungpinang
229,Sambel Sambal Ijo 453ml,Sambal Teri,33038,228,7/15/2025,11/3/2025,4.3,PD Nasyiah Narpati Tbk,Payakumbuh
230,Sambel Sambal Roa 240ml,Sambal Terasi,14917,343,7/15/2025,5/8/2026,3.4,CV Halim Ramadan,Pasuruan
231,Sambal Sambal Terasi 173ml,Sambal Teri,12280,64,7/15/2025,11/16/2025,3.1,PD Mustofa (Persero) Tbk,Bandung
232,Sambel Sambal Cumi 296ml,Sambal Terasi,49655,78,7/15/2025,5/31/2026,4.9,UD Zulkarnain Pratama,Binjai
233,Sambel Sambal Teri 490ml,Sambal Bawang,47612,70,7/15/2025,7/11/2026,3.4,CV Thamrin Tbk,Bukittinggi
234,Sambel Sambal Tomat 227ml,Sambal Bawang,11698,376,7/15/2025,1/16/2026,3.7,PT Lailasari Hutapea Tbk,Pariaman
235,Sambel Sambal Bawang 234ml,Sambal Tomat,56139,228,7/15/2025,1/30/2026,5,CV Suartini Kuswandari,Singkawang
236,Sambel Sambal Teri 202ml,Sambal Bawang,18895,436,7/15/2025,11/19/2025,3.6,PT Budiyanto Tbk,Langsa
237,Sambel Sambal Bawang 449ml,Sambal Cumi,53767,177,7/15/2025,11/15/2025,3.9,PT Firgantoro Safitri,Surakarta
238,Sambel Sambal Tomat 180ml,Sambal Ijo,62015,185,7/15/2025,6/30/2026,3.1,PD Lailasari Yolanda,Pariaman
239,Sambal Sambal Ijo 221ml,Sambal Teri,11722,184,7/15/2025,4/19/2026,3.7,PT Adriansyah Sitompul (Persero) Tbk,Denpasar
240,Sambal Sambal Bawang 133ml,Sambal Tomat,36093,367,7/15/2025,6/15/2026,3.8,UD Tarihoran Pangestu,Prabumulih
241,Sambel Sambal Bawang 164ml,Sambal Cumi,52096,37,7/15/2025,5/31/2026,3.7,UD Narpati (Persero) Tbk,Purwokerto
242,Sambel Sambal Ijo 499ml,Sambal Ijo,60317,494,7/15/2025,12/18/2025,3.6,PT Farida Rajasa,Kendari
243,Sambal Sambal Bawang 365ml,Sambal Ijo,29931,84,7/15/2025,1/3/2026,3.3,CV Hariyah,Banjarmasin
244,Sambal Sambal Cumi 365ml,Sambal Tomat,65439,40,7/15/2025,2/18/2026,3,PD Mulyani Manullang,Batu
245,Sambel Sambal Ijo 420ml,Sambal Tomat,50267,273,7/15/2025,11/29/2025,3.8,Perum Pradana Mangunsong Tbk,Padang Sidempuan
246,Sambal Sambal Ijo 187ml,Sambal Cumi,65216,473,7/15/2025,11/3/2025,4.6,PD Prastuti,Banda Aceh
247,Sambal Sambal Bawang 123ml,Sambal Tomat,52672,107,7/15/2025,5/14/2026,4,UD Astuti Nurdiyanti Tbk,Banda Aceh
248,Sambal Sambal Teri 421ml,Sambal Tomat,52068,489,7/15/2025,3/16/2026,3.7,UD Nuraini Hutasoit,Solok
249,Sambel Sambal Tomat 332ml,Sambal Bawang,55128,30,7/15/2025,1/1/2026,3.6,CV Fujiati,Cilegon
250,Sambel Sambal Teri 204ml,Sambal Cumi,49758,73,7/15/2025,3/22/2026,4.7,UD Wahyudin Permadi Tbk,Tangerang
251,Sambel Sambal Cumi 304ml,Sambal Ijo,59850,189,7/15/2025,7/3/2026,3.9,PD Hariyah,Salatiga
252,Sambel Sambal Matah 338ml,Sambal Bawang,27529,230,7/15/2025,2/16/2026,2.9,PT Mandala Tbk,Bau-Bau
253,Sambal Sambal Tomat 296ml,Sambal Roa,26270,492,7/15/2025,1/2/2026,4.5,Perum Halimah Tbk,Surakarta
254,Sambel Sambal Matah 490ml,Sambal Ijo,42654,263,7/15/2025,6/9/2026,3.7,CV Budiyanto Tbk,Padangpanjang
255,Sambel Sambal Teri 111ml,Sambal Bawang,71946,201,7/15/2025,6/28/2026,3.6,PT Mahendra Mardhiyah (Persero) Tbk,Lhokseumawe
256,Sambal Sambal Matah 398ml,Sambal Cumi,13188,25,7/15/2025,3/6/2026,3.7,CV Utami Prasetyo,Pagaralam
257,Sambel Sambal Tomat 374ml,Sambal Terasi,65520,55,7/15/2025,5/21/2026,2.8,PD Najmudin Pratama Tbk,Palu
258,Sambel Sambal Cumi 491ml,Sambal Roa,33982,23,7/15/2025,5/6/2026,2.6,Perum Purwanti Tbk,Kota Administrasi Jakarta Utara
259,Sambal Sambal Cumi 383ml,Sambal Tomat,14818,197,7/15/2025,6/28/2026,3.6,CV Sihotang Laksita,Tanjungbalai
260,Sambel Sambal Bawang 165ml,Sambal Bawang,35814,191,7/15/2025,4/4/2026,3.9,CV Mustofa Zulkarnain,Tanjungpinang
261,Sambel Sambal Ijo 201ml,Sambal Roa,42773,20,7/15/2025,11/5/2025,2.6,PT Pratama Tbk,Kota Administrasi Jakarta Barat
262,Sambel Sambal Teri 365ml,Sambal Teri,19760,310,7/15/2025,7/3/2026,2.8,UD Permata Sihombing,Solok
263,Sambel Sambal Ijo 301ml,Sambal Tomat,48910,172,7/15/2025,6/29/2026,4.6,PT Natsir (Persero) Tbk,Semarang
264,Sambel Sambal Tomat 343ml,Sambal Terasi,34140,169,7/15/2025,12/8/2025,4.9,Perum Utama Damanik,Jayapura
265,Sambel Sambal Terasi 405ml,Sambal Teri,27401,495,7/15/2025,2/6/2026,4.3,CV Handayani Saragih,Purwokerto
266,Sambel Sambal Ijo 368ml,Sambal Roa,19684,420,7/15/2025,2/14/2026,2.6,CV Wijaya,Pontianak
267,Sambal Sambal Matah 109ml,Sambal Teri,30558,214,7/15/2025,12/29/2025,3.5,UD Mansur,Mataram
268,Sambal Sambal Roa 356ml,Sambal Teri,67200,434,7/15/2025,11/13/2025,4.3,Perum Sihotang Lestari (Persero) Tbk,Bogor
269,Sambal Sambal Cumi 439ml,Sambal Teri,44437,192,7/15/2025,3/22/2026,4.9,PD Saputra,Tidore Kepulauan
270,Sambel Sambal Cumi 379ml,Sambal Cumi,54293,395,7/15/2025,2/25/2026,4,UD Kuswoyo Sihotang Tbk,Pariaman
271,Sambal Sambal Matah 242ml,Sambal Tomat,24736,482,7/15/2025,3/14/2026,4.4,Perum Natsir Tbk,Kotamobagu
272,Sambal Sambal Teri 262ml,Sambal Teri,32859,286,7/15/2025,3/2/2026,3.2,Perum Winarsih,Jayapura
273,Sambel Sambal Roa 276ml,Sambal Ijo,29035,21,7/15/2025,3/9/2026,4.9,UD Iswahyudi Tbk,Singkawang
274,Sambal Sambal Cumi 326ml,Sambal Tomat,58977,245,7/15/2025,1/30/2026,3,Perum Wastuti,Bekasi
275,Sambel Sambal Tomat 170ml,Sambal Bawang,50349,379,7/15/2025,2/12/2026,3.1,CV Gunawan,Denpasar
276,Sambal Sambal Matah 126ml,Sambal Bawang,37086,169,7/15/2025,6/11/2026,2.8,PD Adriansyah Sirait Tbk,Kota Administrasi Jakarta Pusat
277,Sambal Sambal Terasi 381ml,Sambal Ijo,36667,334,7/15/2025,6/13/2026,3.7,Perum Rahimah Uwais (Persero) Tbk,Bengkulu
278,Sambal Sambal Tomat 264ml,Sambal Tomat,52329,30,7/15/2025,11/27/2025,4.1,Perum Mansur,Purwokerto
279,Sambal Sambal Terasi 189ml,Sambal Roa,67818,428,7/15/2025,1/11/2026,4.8,CV Riyanti (Persero) Tbk,Palopo
280,Sambal Sambal Roa 353ml,Sambal Ijo,71381,383,7/15/2025,3/10/2026,4.7,Perum Prabowo Tbk,Palembang
281,Sambal Sambal Tomat 390ml,Sambal Bawang,70847,171,7/15/2025,3/7/2026,3.6,CV Farida (Persero) Tbk,Batu
282,Sambel Sambal Ijo 358ml,Sambal Teri,27880,98,7/15/2025,12/9/2025,3.3,Perum Nugroho,Bau-Bau
283,Sambel Sambal Tomat 467ml,Sambal Ijo,10923,377,7/15/2025,4/3/2026,4.5,Perum Latupono Tbk,Bandar Lampung
284,Sambal Sambal Ijo 412ml,Sambal Roa,64197,218,7/15/2025,7/3/2026,3.3,PD Andriani Pertiwi,Padang
285,Sambel Sambal Bawang 194ml,Sambal Ijo,41290,165,7/15/2025,2/17/2026,2.5,PT Wibowo Winarno,Pontianak
286,Sambel Sambal Matah 328ml,Sambal Tomat,72523,168,7/15/2025,3/16/2026,4,Perum Manullang (Persero) Tbk,Bogor
287,Sambal Sambal Tomat 434ml,Sambal Cumi,55401,120,7/15/2025,11/13/2025,4.2,UD Napitupulu Tbk,Mojokerto
288,Sambel Sambal Tomat 181ml,Sambal Roa,54962,257,7/15/2025,3/21/2026,4.2,CV Pudjiastuti Latupono Tbk,Semarang
289,Sambel Sambal Cumi 414ml,Sambal Matah,24360,490,7/15/2025,12/20/2025,3.7,CV Mansur (Persero) Tbk,Malang
290,Sambel Sambal Cumi 312ml,Sambal Teri,59633,275,7/15/2025,2/1/2026,4.4,PT Zulaika (Persero) Tbk,Manado
291,Sambal Sambal Teri 370ml,Sambal Cumi,15118,469,7/15/2025,12/9/2025,2.7,PT Permata Prakasa,Prabumulih
292,Sambal Sambal Ijo 184ml,Sambal Cumi,65999,266,7/15/2025,5/27/2026,2.8,PD Simbolon Tbk,Binjai
293,Sambal Sambal Teri 146ml,Sambal Teri,62998,28,7/15/2025,6/2/2026,2.8,CV Irawan,Banjar
294,Sambel Sambal Teri 388ml,Sambal Terasi,46621,236,7/15/2025,3/19/2026,4.3,PT Pertiwi,Kota Administrasi Jakarta Selatan
295,Sambel Sambal Tomat 101ml,Sambal Matah,47900,37,7/15/2025,11/5/2025,3.6,PD Pertiwi,Ambon
296,Sambal Sambal Terasi 135ml,Sambal Teri,12079,146,7/15/2025,5/10/2026,2.9,CV Suryatmi Tbk,Pagaralam
297,Sambal Sambal Roa 291ml,Sambal Roa,39395,445,7/15/2025,4/24/2026,3.4,PT Maryadi Permata,Pematangsiantar
298,Sambal Sambal Cumi 160ml,Sambal Ijo,45209,201,7/15/2025,7/10/2026,2.8,Perum Yuliarti,Surabaya
299,Sambal Sambal Terasi 487ml,Sambal Terasi,74126,152,7/15/2025,6/7/2026,4.2,UD Wijaya,Tidore Kepulauan
300,Sambel Sambal Roa 217ml,Sambal Matah,40187,177,7/15/2025,12/31/2025,3.2,Perum Pudjiastuti Tbk,Jayapura
301,Sambal Sambal Terasi 438ml,Sambal Roa,50299,392,7/15/2025,10/21/2025,3.1,Perum Halim,Meulaboh
302,Sambal Sambal Bawang 404ml,Sambal Terasi,39257,306,7/15/2025,11/6/2025,3.1,PT Puspita Pradipta Tbk,Tanjungpinang
303,Sambal Sambal Roa 324ml,Sambal Matah,45373,111,7/15/2025,11/10/2025,2.9,Perum Simanjuntak Uwais (Persero) Tbk,Bukittinggi
304,Sambel Sambal Matah 474ml,Sambal Cumi,47845,306,7/15/2025,3/26/2026,3.1,Perum Nababan (Persero) Tbk,Tarakan
305,Sambal Sambal Matah 311ml,Sambal Tomat,28032,31,7/15/2025,1/10/2026,4.1,PT Sitompul Prasetya,Pematangsiantar
306,Sambel Sambal Teri 124ml,Sambal Cumi,71707,329,7/15/2025,4/26/2026,4.5,Perum Sudiati Haryanti Tbk,Banjarmasin
307,Sambel Sambal Roa 309ml,Sambal Ijo,29653,192,7/15/2025,1/15/2026,4.4,CV Permadi,Ambon
308,Sambel Sambal Matah 215ml,Sambal Tomat,66199,362,7/15/2025,12/25/2025,4.5,UD Hasanah (Persero) Tbk,Salatiga
309,Sambal Sambal Roa 313ml,Sambal Ijo,35455,124,7/15/2025,2/20/2026,3,UD Yulianti (Persero) Tbk,Bekasi
310,Sambal Sambal Teri 289ml,Sambal Bawang,45103,370,7/15/2025,1/18/2026,2.6,PD Lestari Sihotang Tbk,Cilegon
311,Sambel Sambal Terasi 137ml,Sambal Matah,62733,389,7/15/2025,2/1/2026,3.7,PD Waluyo (Persero) Tbk,Batam
312,Sambel Sambal Tomat 107ml,Sambal Matah,71417,97,7/15/2025,12/12/2025,4.4,UD Wijayanti,Kota Administrasi Jakarta Selatan
313,Sambel Sambal Matah 456ml,Sambal Matah,35993,468,7/15/2025,2/12/2026,3.9,Perum Wijayanti Nuraini,Pasuruan
314,Sambel Sambal Roa 338ml,Sambal Cumi,30212,133,7/15/2025,4/15/2026,3.8,PD Haryanto Uyainah,Prabumulih
315,Sambel Sambal Teri 150ml,Sambal Teri,59914,429,7/15/2025,3/25/2026,4.8,PT Manullang,Medan
316,Sambel Sambal Cumi 311ml,Sambal Terasi,46865,442,7/15/2025,2/3/2026,4.4,Perum Maheswara,Sibolga
317,Sambal Sambal Tomat 383ml,Sambal Roa,29345,78,7/15/2025,1/21/2026,3.3,PT Andriani Latupono,Manado
318,Sambel Sambal Matah 355ml,Sambal Cumi,26864,390,7/15/2025,6/20/2026,4.9,Perum Dabukke (Persero) Tbk,Langsa
319,Sambel Sambal Teri 186ml,Sambal Cumi,21092,71,7/15/2025,6/20/2026,3,UD Maryati,Tarakan
320,Sambal Sambal Terasi 138ml,Sambal Terasi,60091,3,7/15/2025,5/12/2026,2.8,UD Utami (Persero) Tbk,Tasikmalaya
321,Sambal Sambal Bawang 462ml,Sambal Ijo,10599,111,7/15/2025,6/28/2026,3.6,Perum Yulianti,Tebingtinggi
322,Sambal Sambal Teri 437ml,Sambal Teri,11030,3,7/15/2025,7/12/2026,3.9,CV Wastuti Tbk,Tasikmalaya
323,Sambal Sambal Terasi 371ml,Sambal Tomat,45110,500,7/15/2025,3/8/2026,2.5,PT Hakim (Persero) Tbk,Bengkulu
324,Sambel Sambal Ijo 154ml,Sambal Bawang,44366,76,7/15/2025,2/13/2026,3,Perum Gunawan (Persero) Tbk,Samarinda
325,Sambel Sambal Cumi 236ml,Sambal Roa,15178,191,7/15/2025,5/8/2026,3.6,Perum Laksmiwati Siregar Tbk,Balikpapan
326,Sambal Sambal Matah 253ml,Sambal Bawang,52843,439,7/15/2025,10/29/2025,2.7,PT Napitupulu (Persero) Tbk,Kendari
327,Sambel Sambal Roa 382ml,Sambal Teri,13677,326,7/15/2025,10/17/2025,4.3,Perum Saragih (Persero) Tbk,Purwokerto
328,Sambal Sambal Teri 322ml,Sambal Cumi,47083,500,7/15/2025,11/30/2025,4.7,CV Irawan (Persero) Tbk,Kendari
329,Sambal Sambal Matah 208ml,Sambal Teri,27766,23,7/15/2025,11/20/2025,4.2,Perum Mayasari Tbk,Palopo
330,Sambel Sambal Terasi 191ml,Sambal Cumi,11026,492,7/15/2025,1/27/2026,4,PD Sitompul Fujiati,Tangerang
331,Sambel Sambal Bawang 253ml,Sambal Ijo,46959,123,7/15/2025,4/30/2026,4.2,CV Ardianto,Meulaboh
332,Sambel Sambal Roa 486ml,Sambal Ijo,61806,352,7/15/2025,11/22/2025,3.8,UD Pratiwi Nababan,Sungai Penuh
333,Sambel Sambal Terasi 150ml,Sambal Roa,25213,429,7/15/2025,11/20/2025,3.4,Perum Dongoran Firmansyah,Medan
334,Sambel Sambal Cumi 115ml,Sambal Tomat,61350,230,7/15/2025,6/21/2026,3.1,CV Megantara Padmasari,Kediri
335,Sambel Sambal Roa 195ml,Sambal Roa,15616,395,7/15/2025,3/13/2026,4.5,PD Suartini,Sukabumi
336,Sambal Sambal Bawang 237ml,Sambal Ijo,34903,364,7/15/2025,12/30/2025,4.3,Perum Budiman Pratama,Dumai
337,Sambel Sambal Cumi 154ml,Sambal Bawang,10340,482,7/15/2025,3/19/2026,3.6,CV Halim,Cimahi
338,Sambel Sambal Bawang 167ml,Sambal Bawang,22280,220,7/15/2025,5/30/2026,3.9,CV Simbolon Natsir Tbk,Sibolga
339,Sambel Sambal Bawang 113ml,Sambal Bawang,33194,283,7/15/2025,11/29/2025,4,UD Waluyo Purwanti,Meulaboh
340,Sambel Sambal Roa 106ml,Sambal Tomat,37119,198,7/15/2025,11/25/2025,4.3,CV Pudjiastuti,Palangkaraya
341,Sambal Sambal Ijo 450ml,Sambal Roa,21108,71,7/15/2025,2/27/2026,3.3,CV Kuswandari Laksita,Solok
342,Sambel Sambal Ijo 132ml,Sambal Ijo,38486,141,7/15/2025,5/16/2026,3.2,PD Permadi Haryanti,Pariaman
343,Sambal Sambal Cumi 228ml,Sambal Matah,57244,320,7/15/2025,6/23/2026,4,Perum Simbolon Tbk,Sukabumi
344,Sambal Sambal Teri 154ml,Sambal Ijo,29966,3,7/15/2025,5/3/2026,3.3,PT Prayoga Safitri,Jayapura
345,Sambel Sambal Cumi 325ml,Sambal Cumi,38220,417,7/15/2025,12/21/2025,3.3,CV Usada Pradipta Tbk,Probolinggo
346,Sambal Sambal Teri 260ml,Sambal Ijo,73214,203,7/15/2025,3/25/2026,3.2,PT Santoso Hutasoit Tbk,Depok
347,Sambel Sambal Matah 266ml,Sambal Roa,28369,418,7/15/2025,5/2/2026,3.4,UD Yuliarti Wulandari,Pekanbaru
348,Sambal Sambal Ijo 449ml,Sambal Terasi,72456,372,7/15/2025,6/6/2026,4.9,UD Hidayat,Binjai
349,Sambal Sambal Teri 249ml,Sambal Bawang,63671,434,7/15/2025,5/10/2026,4.2,PD Megantara,Lhokseumawe
350,Sambal Sambal Tomat 223ml,Sambal Tomat,53166,78,7/15/2025,5/17/2026,4.5,Perum Firgantoro Uwais (Persero) Tbk,Jambi
351,Sambal Sambal Teri 406ml,Sambal Teri,48157,205,7/15/2025,7/13/2026,3.8,UD Utami Tbk,Bima
352,Sambel Sambal Terasi 284ml,Sambal Bawang,17167,393,7/15/2025,2/17/2026,4.1,CV Damanik (Persero) Tbk,Batam
353,Sambel Sambal Ijo 431ml,Sambal Terasi,46911,330,7/15/2025,5/5/2026,4.9,CV Pertiwi Wibisono,Kota Administrasi Jakarta Pusat
354,Sambel Sambal Roa 154ml,Sambal Terasi,16462,132,7/15/2025,2/3/2026,3.8,UD Mulyani Hasanah (Persero) Tbk,Metro
355,Sambal Sambal Teri 291ml,Sambal Roa,40347,395,7/15/2025,6/26/2026,2.9,PD Susanti Prayoga (Persero) Tbk,Makassar
356,Sambal Sambal Teri 153ml,Sambal Tomat,37261,471,7/15/2025,11/25/2025,2.8,UD Manullang Haryanto (Persero) Tbk,Cirebon
357,Sambal Sambal Cumi 259ml,Sambal Cumi,39840,401,7/15/2025,1/26/2026,3.8,PD Lailasari Wahyudin,Pekanbaru
358,Sambel Sambal Teri 149ml,Sambal Teri,57316,356,7/15/2025,6/1/2026,3.3,UD Gunarto Wulandari,Tomohon
359,Sambel Sambal Terasi 463ml,Sambal Bawang,11480,434,7/15/2025,4/6/2026,4.1,UD Prayoga,Banjar
360,Sambal Sambal Matah 364ml,Sambal Ijo,46169,81,7/15/2025,3/31/2026,3.9,PD Nuraini Tamba,Payakumbuh
361,Sambel Sambal Matah 307ml,Sambal Ijo,22215,327,7/15/2025,5/22/2026,3.5,PT Megantara,Surabaya
362,Sambal Sambal Teri 403ml,Sambal Roa,35482,2,7/15/2025,1/30/2026,3,PD Namaga Sitorus,Cirebon
363,Sambal Sambal Bawang 374ml,Sambal Ijo,33972,166,7/15/2025,1/21/2026,3.6,PT Rajasa Wahyuni (Persero) Tbk,Batam
364,Sambel Sambal Teri 370ml,Sambal Cumi,49123,198,7/15/2025,5/1/2026,4,PD Rahmawati Budiyanto,Cilegon
365,Sambel Sambal Cumi 334ml,Sambal Ijo,63329,344,7/15/2025,3/14/2026,4.8,UD Sihombing Haryanti,Padangpanjang
366,Sambal Sambal Ijo 260ml,Sambal Bawang,25635,156,7/15/2025,12/11/2025,3,Perum Kuswoyo Wulandari,Pontianak
367,Sambal Sambal Roa 314ml,Sambal Ijo,47670,196,7/15/2025,5/17/2026,3,Perum Pradana Tbk,Metro
368,Sambal Sambal Ijo 350ml,Sambal Tomat,19194,95,7/15/2025,3/23/2026,4.6,UD Handayani Nuraini Tbk,Batam
369,Sambal Sambal Cumi 104ml,Sambal Teri,18947,99,7/15/2025,4/27/2026,4.9,PD Suwarno,Yogyakarta
370,Sambel Sambal Roa 450ml,Sambal Teri,37238,363,7/15/2025,5/28/2026,3.7,Perum Iswahyudi (Persero) Tbk,Tanjungpinang
371,Sambal Sambal Terasi 489ml,Sambal Matah,29142,16,7/15/2025,3/2/2026,3.1,PD Saefullah (Persero) Tbk,Subulussalam
372,Sambel Sambal Ijo 499ml,Sambal Teri,47070,380,7/15/2025,6/23/2026,3.9,UD Aryani,Mataram
373,Sambal Sambal Bawang 237ml,Sambal Cumi,45523,421,7/15/2025,11/3/2025,4.4,PD Wijayanti Nasyiah,Kupang
374,Sambel Sambal Matah 317ml,Sambal Bawang,58233,424,7/15/2025,2/16/2026,3.2,PT Uwais Mulyani,Bogor
375,Sambal Sambal Teri 234ml,Sambal Cumi,66505,418,7/15/2025,11/26/2025,3.6,PT Pertiwi Sitompul (Persero) Tbk,Surabaya
376,Sambal Sambal Matah 207ml,Sambal Cumi,66429,363,7/15/2025,5/20/2026,2.9,CV Mahendra,Pangkalpinang
377,Sambal Sambal Matah 205ml,Sambal Terasi,47360,179,7/15/2025,7/12/2026,3.2,UD Samosir (Persero) Tbk,Padangpanjang
378,Sambal Sambal Cumi 460ml,Sambal Tomat,28961,293,7/15/2025,2/26/2026,4.9,PD Oktaviani Zulkarnain,Samarinda
379,Sambal Sambal Ijo 484ml,Sambal Roa,70212,30,7/15/2025,3/3/2026,4.7,Perum Wibowo Sitorus (Persero) Tbk,Subulussalam
380,Sambal Sambal Ijo 227ml,Sambal Ijo,56621,164,7/15/2025,2/16/2026,4.4,PT Maheswara Permata,Sibolga
381,Sambel Sambal Teri 172ml,Sambal Tomat,51144,212,7/15/2025,4/23/2026,3.6,UD Saefullah,Kota Administrasi Jakarta Selatan
382,Sambal Sambal Roa 363ml,Sambal Tomat,55528,479,7/15/2025,4/19/2026,3.6,Perum Aryani,Meulaboh
383,Sambel Sambal Cumi 397ml,Sambal Terasi,66944,396,7/15/2025,11/29/2025,4.3,PD Adriansyah (Persero) Tbk,Kota Administrasi Jakarta Timur
384,Sambel Sambal Cumi 132ml,Sambal Roa,24275,495,7/15/2025,5/20/2026,4.6,PD Tampubolon,Dumai
385,Sambel Sambal Tomat 265ml,Sambal Tomat,32135,280,7/15/2025,12/18/2025,3.9,UD Megantara Pertiwi,Bitung
386,Sambel Sambal Cumi 449ml,Sambal Terasi,13010,50,7/15/2025,6/5/2026,2.5,PT Mahendra Mardhiyah (Persero) Tbk,Ambon
387,Sambal Sambal Teri 333ml,Sambal Terasi,72785,219,7/15/2025,1/24/2026,5,Perum Mansur Prasasta Tbk,Tangerang Selatan
388,Sambal Sambal Tomat 181ml,Sambal Tomat,16117,335,7/15/2025,4/15/2026,3.1,UD Budiman Tamba Tbk,Sorong
389,Sambel Sambal Ijo 126ml,Sambal Roa,50999,156,7/15/2025,2/9/2026,3.6,Perum Purnawati Halim,Banjar
390,Sambal Sambal Bawang 100ml,Sambal Matah,41248,39,7/15/2025,12/19/2025,4,UD Tampubolon Puspasari Tbk,Sawahlunto
391,Sambel Sambal Terasi 104ml,Sambal Cumi,63550,61,7/15/2025,5/17/2026,4.2,PT Maulana Zulaika Tbk,Sabang
